id,name,icon,rarity,rarity_label,cost,tags,description,build_hints,flavor,craft_only,is_container
amethyst_whelp,Аметистовый дракончик,🐉💜,godly,Божественный,14,питомец; магия; крафт,В начале боя: +4 случайных стака. При попадании: украсть стак у противника.,"Билд: мана / магия, питомцы · Пары: Mana Orb, Mana Potion, магические посохи","Магия здесь не светится. Она шепчет и портит воздух, как плесень в вентиляции.",,
pineapple,Ананас,🍍,legendary,Легендарный,6,еда; природа,"На 10% быстрее за «еда». Каждые 2.9 сек: +1 удача, лечит на 4 HP.",Билд: еда / Pan · Синергия: стан → Dagger extra attack,"Запах домашний. Но дома давно нет — только эта комната и твой голод, который не утолняется.",,
antitoxin,Антидот,🧴,uncommon,Необычный,3,универсальный; природа; лечение,Лечение 4 HP.,,Инструмент из ящика «на всякий случай». В этом городе «всякий случай» — это каждый день.,,
artifact_stone_heat,Артефактный камень: Жар,🪨🔥,unique,Уникальный,9,аксессуар; огонь,"При попадании: +3 жар. До 1 активаций за бой. При 10+ жар: оружие +8 урона, один раз за бой. Удар 4–6 урона.","Билд: огонь / Pyromancer · Пары: Draconic Orb, Oil Lamp, Flame-крафты","Огонь не освещает. Он показывает то, что стояло в темноте, пока ты отводил взгляд.",,
artifact_stone_death,Артефактный камень: Смерть,💀,unique,Уникальный,8,аксессуар; яд,1 бросок. Урон от усталости при попадании. +7% крит за уровень усталости противника.,"Билд: яд / DoT · Пары: Pestilence Flask, Death Scythe, ядовитые питомцы","Капля на металле расползается медленно — как пятно на стене, которое появляется каждую ночь.",,
artifact_stone_cold,Артефактный камень: Холод,🪨❄️,unique,Уникальный,10,аксессуар; лёд,"При попадании: +3 холод. До 1 активаций за бой. Каждые 5 сек: +1 холод, лечит на 4 HP. Удар 2–4 урона.",Билд: лёд,"Прикосновение ледянее, чем должно быть. Как ручка двери в подвал, которую никто не открывал годами.",,
banana,Банан,🍌,common,Обычный,3,еда; природа,"Каждые 5 сек: лечит на 4 HP, +1 выносливости.",Билд: еда / Pan · Синергия: стан → Dagger extra attack,На вкус как память. Неприятная. Настоящая. Ты всё равно проглотишь.,,
squirrel,Белка,🐿️,rare,Редкий,5,питомец; крафт,На 15% быстрее за «питомцы/еда». Каждые 4 сек: украсть 1 урона у оружия врага.,Билд: питомцы,"Спутник не живой. Он просто ещё не понял, что давно умер — и потому остаётся рядом. Оставлено для тех, кто ещё помнит своё имя — белка не прощает забывчивых.",,
squirrel_archer,Белка-лучник,🐿️🏹,epic,Эпический,9,питомец; дальний; крафт,При попадании: украсть 1 урона. Быстрее на 15% за питомца/еду.,"Билд: Ranger дальний бой, питомцы · Крафт: Squirrel + Bow and Arrow · Пары: Lucky Clover, Acorn Collar, Fortuna-ветка","Спутник не живой. Он просто ещё не понял, что давно умер — и потому остаётся рядом.",да,
bandage,Бинт,🩹,common,Обычный,1,универсальный; еда; лечение,Лечение 3 HP.,,"Запах домашний. Но дома давно нет — только эта комната и твой голод, который не утолняется.",,
fortunas_grace,Благодать Фортуны,🏹✨,legendary,Легендарный,10,оружие; удача; дальний; крафт,В начале боя: +5 удачи.,"Билд: Ranger дальний бой, крит / Luck · Крафт: Bow and Arrow + 2× Lucky Clover · Пары: Whetstone, Gloves of Haste","Железо, которое не ржавеет от времени — только от того, что на него смотрят слишком долго.",да,
shiny_shell,Блестящая раковина,🐚,common,Обычный,2,аксессуар; святой; природа,+3 лечения за соседний «святой». Каждые 5 сек: лечит на 5 HP.,"Билд: святой / Ranger · Крафт: Shelly, Shell Totem · Пары: Holy Armor, Divine Potion","Украшение с чужого запястья. Размер подходит. Это должно тревожить сильнее, чем тревожит.",,
war_scythe,Боевая коса,⚔️🌾,legendary,Легендарный,14,оружие; ближний; яд; тёмный; крафт,При атаке: −1 жар → снять 3 яда с противника и +5 урона. +0.35 урона и +3% крит за дебафф.,Крафт: Death Scythe + Whetstone · Reaper / яд,Удар им не больнее обычного. Просто после удара дольше не слышишь собственный пульс.,да,
war_hammer,Боевой молот,🔨,legendary,Легендарный,12,оружие; ближний,+50% пробивания блока. Удар 20–25 урона.,,"Когда-то это было оружием. Теперь — улика. Кровь здесь не красная, а цвета старой плёнки. Оставлено для тех, кто ещё помнит своё имя — боевой молот не прощает забывчивых.",,
divine_potion,Божественное зелье,🧪✨,godly,Божественный,7,зелье; расходник; святой,"При 10+ негативах снимает 10, один раз за бой. Лечение 12 HP.",Универсальный / автономный,"Тяжелее, чем выглядит. Как вина, которую ты ещё не совершил, но уже несёшь.",,
more_stats,Больше статов,📊,unique,Уникальный,5,аксессуар,В начале боя: +12% макс. HP. +5% урона оружия.,Универсальный / автономный,"Украшение с чужого запястья. Размер подходит. Это должно тревожить сильнее, чем тревожит.",,
large_sack,Большой мешок,🛄,rare,Редкий,9,сумка,+6 слотов рюкзака.,,"Внутри больше места, чем снаружи. Как комната, в которую ты заходишь и понимаешь — выхода не было никогда.",,да
great_shield,Большой щит,🛡️,rare,Редкий,8,броня; щит,Блок 18.,,"Броня не защищает от ударов. Она защищает от осознания, что удар уже был — просто ты ещё не упал.",,
vampiric_armor,Вампирская броня,🦺🩸,legendary,Легендарный,15,броня; вампирский; крафт,В начале боя: −50 HP → +100 регена и +4 блока. Каждые 2.8с: −10 HP → +20 регена.,"Билд: вампиризм · Крафт: Leather Armor + Blood Amulet · Пары: Blood Amulet, Hungry Blade, Blood Goobert","Броня не защищает от ударов. Она защищает от осознания, что удар уже был — просто ты ещё не упал.",да,
vampiric_gloves,Вампирские перчатки,🧤🩸,godly,Божественный,12,перчатки; аксессуар; вампирский; крафт,Через 4с: предметы на 35% быстрее.,"Билд: вампиризм · Крафт: Gloves of Haste + Blood Amulet · Пары: Blood Amulet, Hungry Blade, Blood Goobert",Собран из обломков чужих вещей. Здесь всё когда-нибудь становится частью чего-то худшего.,да,
vampiric_potion,Вампирское зелье,🧪🩸,legendary,Легендарный,8,зелье; расходник; вампирский,"Лечит на 5% от нанесённого урона. Если у обоих меньше 80% здоровья: +3 мана, 15 магического урона (лечит на 100% от урона), один раз за бой. +10% урона на 6 сек.","Билд: вампиризм · Пары: Blood Amulet, Hungry Blade, Blood Goobert","Тяжелее, чем выглядит. Как вина, которую ты ещё не совершил, но уже несёшь.",да,
twine_badge,Верёвочный значок,🧵,unique,Уникальный,5,аксессуар; крафт,На 5% чаще срабатывают эффекты предметов. В магазине чаще встречаются предметы: авантюрист. При покупке «сокровища» 40% шанс дополняет витрину.,Универсальный / автономный,Собран из обломков чужих вещей. Здесь всё когда-нибудь становится частью чего-то худшего.,,
the_lovers,Влюблённые,🃏💕,common,Обычный,3,карта; крафт,В начале боя: лечение 3 HP. лечение 4 HP. +25% урона на 4 сек.,Универсальный / автономный,Собран из обломков чужих вещей. Здесь всё когда-нибудь становится частью чего-то худшего.,,
holdall,Вместительная сумка,🧳,epic,Эпический,7,сумка,+6 слотов рюкзака. +8 жар за нейтральный предмет.,Универсальный / автономный,"Внутри больше места, чем снаружи. Как комната, в которую ты заходишь и понимаешь — выхода не было никогда.",да,да
wolf_badge,Волчий значок,🐺,unique,Уникальный,5,аксессуар; крафт,"Боевая ярость (<50% HP): −урон, быстрее предметы. Если здоровье ниже 50%, один раз за бой. В магазине чаще встречаются предметы: берсерк.",Универсальный / автономный,Собран из обломков чужих вещей. Здесь всё когда-нибудь становится частью чего-то худшего.,,
wolpertinger,Вольпертингер,🐰,godly,Божественный,12,питомец; удача,На 15% быстрее за «питомцы/luck». Каждые 5 сек: +1 к самому слабому бонусу. Лечение 2 HP.,"Билд: крит / Luck, питомцы","Глаза у него как у игрушки из автомата: стеклянные, и в них отражается не ты.",,
crow,Ворон,🐦‍⬛,godly,Божественный,13,питомец; дебафф; тёмный; крафт,Каждые 3с: украсть 1 урона. Предметы на 6% быстрее за питомца/дебафф.,"Билд: Reaper дебаффы, питомцы","Спутник не живой. Он просто ещё не понял, что давно умер — и потому остаётся рядом.",,
hero_long_sword,Геройский длинный меч,🗡️,rare,Редкий,0,оружие; ближний,Удар 8–14 урона.,,Удар им не больнее обычного. Просто после удара дольше не слышишь собственный пульс.,да,
hero_sword,Геройский меч,⚔️,uncommon,Необычный,0,оружие; ближний,Удар 4–8 урона.,,"Железо, которое не ржавеет от времени — только от того, что на него смотрят слишком долго.",да,
heroic_potion,Геройское зелье,🧪⚔️,legendary,Легендарный,6,зелье; расходник; stamina,При нулевой выносливости: +2 выносливости и +1 усиление. +20% урона на 5 сек.,"Билд: оружие со стаминой · Крафт: Eggscalibur · Пары: Stamina Sack, много ⚡-оружия","Предмет, который не должен был попасть в твои руки. Но в этом месте «не должен» ничего не значит.",,
hyper_hedgehog,Гиперёжик,🦔⚡,godly,Божественный,12,питомец; шипы; крафт; святой,Каждые 5с: 10 маг. урона +1 за шип. При HP <70%: +4 шипа и +35 HP (раз).,"Билд: шипы / отражение, питомцы · Крафт: Hedgehog + Walrus Tusk","Глаза у него как у игрушки из автомата: стеклянные, и в них отражается не ты.",да,
holo_fire_lizard,Голографическая огненная ящерица,🃏🦎,legendary,Легендарный,5,карта; огонь; питомец; крафт,+8% к магическому урону. Маг. удар 12 (+4/карта). В начале боя: +4 жар. +8% к урону. +25% урона на 4 сек.,"Билд: огонь / Pyromancer, питомцы · Пары: Draconic Orb, Oil Lamp, Flame-крафты",Жар от него пахнет не дымом — горелой бумагой и чужими фотографиями.,,
hungry_blade,Голодный клинок,🗡️🩸,epic,Эпический,7,оружие; ближний; вампирский; крафт,В начале боя: +1 шип. При попадании: +1 шип. +8% к урону. +1 урона за каждый шип. Удар 3–6 урона.,"Билд: вампиризм · Ветка: Manathirst / Bloodthorne / Frostbite · Пары: Healing Herbs, реген",Удар им не больнее обычного. Просто после удара дольше не слышишь собственный пульс.,,
bunch_of_coins,Горсть монет,🪙,rare,Редкий,9,аксессуар; ближний; сокровище; крафт,"Ничего не делают, но их можно продать с прибылью!",Билд: экономика / золото,Собран из обломков чужих вещей. Здесь всё когда-нибудь становится частью чего-то худшего.,,
burning_coal,Горящий уголь,🔥,rare,Редкий,2,аксессуар; огонь; крафт,"В начале боя: +12 жар. 12% шанс: +6 урона. +8% к урону. Каждые 5 сек: +2 жар, снимает 3 негатива.","Билд: огонь / Pyromancer · Крафт: Lump of Coal + источник огня · Пары: Draconic Orb, Oil Lamp, Flame-крафты","Огонь не освещает. Он показывает то, что стояло в темноте, пока ты отводил взгляд.",да,
storage_coffin,Гроб-хранилище,⚰️,unique,Уникальный,20,сумка; тёмный; reaper,При активации предмета внутри: 22% +1 яд.,"Билд: Reaper / тёмные предметы · Пары: Demonic Flask, яд","Внутри больше места, чем снаружи. Как комната, в которую ты заходишь и понимаешь — выхода не было никогда.",,да
goobert,Губерт,🟢,rare,Редкий,6,питомец; крафт,"После 6 активаций: +12 HP, +2 жар. Лечение 2 HP.",Ветка питомцев Goobert · Крафт: Steel / Blood / Light / King Goobert,"Глаза у него как у игрушки из автомата: стеклянные, и в них отражается не ты.",,
demonic_flask,Демоническая склянка,🧪😈,godly,Божественный,7,зелье; расходник; тёмный; крафт,Противник <50% HP: 5 маг. урона за каждый его дебафф.,Билд: Reaper дебаффы,Собран из обломков чужих вещей. Здесь всё когда-нибудь становится частью чего-то худшего.,,
wooden_sword,Деревянный меч,🗡️🪵,common,Обычный,3,оружие; ближний; крафт,25% шанс: +1 урона (макс. +2). Удар 1–3 урона.,Старт Ranger · Крафт: → Hero Sword · Пары: Whetstone для раннего апгрейда,"Удар им не больнее обычного. Просто после удара дольше не слышишь собственный пульс. Оставлено для тех, кто ещё помнит своё имя — деревянный меч не прощает забывчивых.",,
wooden_buckler,Деревянный щиток,🛡️🪵,common,Обычный,4,щит; броня,"При блоке или уклонении (30% шанс): блокирует 7 урона, забирает 0.3 выносливости у врага. Блок 5.",Универсальный / автономный,"Броня не защищает от ударов. Она защищает от осознания, что удар уже был — просто ты ещё не упал.",,
jimbo,Джимбо,🃏🤠,godly,Божественный,4,карта; крафт,+20 удачи. На 10% чаще срабатывают эффекты предметов. +2 защиты. Лечение 5 HP.,Универсальный / автономный,Собран из обломков чужих вещей. Здесь всё когда-нибудь становится частью чего-то худшего.,,
duffle_bag,Дорожная сумка,🛄,unique,Уникальный,16,сумка; крафт,"При HP <50%: боевая ярость, −20% урона, +20 блока.",Универсальный / автономный,"Собран из обломков чужих вещей. Здесь всё когда-нибудь становится частью чего-то худшего. Оставлено для тех, кто ещё помнит своё имя — дорожная сумка не прощает забывчивых.",да,да
titan_armor,Доспех титана,🦾,rare,Редкий,10,броня,+16 защиты. +15 к макс. здоровью.,,"Щит тяжелее, чем кажется. Как дверь, которую ты закрывал, зная, что за ней кто-то стоит.",,
dragon_claws,Драконьи когти,🐉🐾,epic,Эпический,4,перчатки; аксессуар; ближний; питомец; крафт,"+3 защиты. Предметы перезаряжаются на 15% быстрее. На 10% чаще срабатывают эффекты предметов. Боевая ярость (<50% HP): −урон, быстрее предметы.",Билд: питомцы · Крафт: Gloves of Haste + Forging Hammer,"Глаза у него как у игрушки из автомата: стеклянные, и в них отражается не ты.",да,
draconic_orb,Драконья сфера,🔮🐉,epic,Эпический,8,аксессуар; огонь; pyromancer; крафт,При 15 жара: 3 гарантированных крита. Каждые 3.8с: украсть 1 жар.,"Билд: огонь · Крафт: Staff of Fire, Obsidian Dragon","Огонь не освещает. Он показывает то, что стояло в темноте, пока ты отводил взгляд.",,
dragonscale_armor,Драконья чешуя,🐉🦺,epic,Эпический,7,броня; ближний; питомец; крафт,"При боевой ярости (<50% HP): +45 блока, −8% урона.",Билд: питомцы · Крафт: Leather Armor + Forging Hammer,"Броня не защищает от ударов. Она защищает от осознания, что удар уже был — просто ты ещё не упал.",да,
smoke_bomb,Дымовая бомба,💨,legendary,Легендарный,10,яд; универсальный; дебафф,Уклонение каждые 3 сек. Накладывает 2 яда.,,"Яд здесь не зелёный. Он прозрачный, как вода из крана в пустом доме.",,
hedgehog,Ёжик,🦔,epic,Эпический,6,питомец; шипы; крафт,"+0.5 урона за каждый шип. На 15% быстрее за «питомцы/еда». Каждые 5 сек: наносит 10 магического урона. Если здоровье ниже 70%: лечит на 25 HP, +2 шип, один раз за бой. Накладывает 1 яда.","Билд: шипы / отражение, питомцы","Спутник не живой. Он просто ещё не понял, что давно умер — и потому остаётся рядом.",,
toad,Жаба,🐸,epic,Эпический,6,питомец; яд; тёмный; крафт,"Каждые 3.8 сек: +1 мана, отравляет врага (1). При 10+ усиление: +12 HP, один раз за бой. Лечение 2 HP.","Билд: яд / DoT, Reaper дебаффы, питомцы · Пары: Pestilence Flask, Death Scythe, ядовитые питомцы","Яд здесь не зелёный. Он прозрачный, как вода из крана в пустом доме.",,
manathirst,Жаждущий маны,🩸,rare,Редкий,0,оружие; магия; ближний,Лечит на 15% от нанесённого урона. Магический удар 2–6 урона.,,Удар им не больнее обычного. Просто после удара дольше не слышишь собственный пульс.,да,
iron_patch,Железная заплатка,🔩,common,Обычный,3,универсальный,+2 защиты.,,Инструмент из ящика «на всякий случай». В этом городе «всякий случай» — это каждый день.,,
iron_helmet,Железный шлем,⛑️,common,Обычный,2,броня; шлем,+3 защиты. Блок 4.,,"Щит тяжелее, чем кажется. Как дверь, которую ты закрывал, зная, что за ней кто-то стоит.",,
iron_shield,Железный щит,🛡️,common,Обычный,3,броня; щит,Блок 5.,,"Щит тяжелее, чем кажется. Как дверь, которую ты закрывал, зная, что за ней кто-то стоит.",,
acorn_collar,Жёлудевой ошейник,🌰,epic,Эпический,8,аксессуар; удача; крафт; природа,+2 удачи. +5% крит за каждую удачу.,Билд: крит / Luck,Собран из обломков чужих вещей. Здесь всё когда-нибудь становится частью чего-то худшего.,,
time_dilator,Замедлитель времени,⏳,unique,Уникальный,8,аксессуар,Предметы перезаряжаются на 8% быстрее. Предметы перезаряжаются на 30% медленнее. Каждые 1 сек: ускорить предмет на 6%. замедление 12%.,Универсальный / автономный,"Украшение с чужого запястья. Размер подходит. Это должно тревожить сильнее, чем тревожит.",,
frozen_flame,Замёрзшее пламя,🧊,unique,Уникальный,10,аксессуар; огонь; лёд,+8 жар за «огонь». +8% к урону. +2% шанс крита. +2% крит. урона. При 6+ жар: +2 жар. В магазине чаще встречаются предметы: огонь.,"Билд: огонь / Pyromancer, лёд · Пары: Draconic Orb, Oil Lamp, Flame-крафты","Пламя в стекле, которое не греет. Его принесли из комнаты, где всегда горит телевизор без сигнала.",,
frozen_buckler,Замёрзший щиток,🛡️❄️,epic,Эпический,8,щит; броня; лёд; крафт,"Блок +15%. При блоке (30%): −12 урона, −0.9 выносливости, +1 яд.",Билд: лёд · Крафт: Wooden Buckler + Spell Scroll: Frostbolt,"Прикосновение ледянее, чем должно быть. Как ручка двери в подвал, которую никто не открывал годами.",да,
protective_purse,Защитная сумочка,👛🛡️,godly,Божественный,2,сумка; щит; броня,+1 слотов рюкзака. В начале боя: +15 блок.,Универсальный / автономный,"Броня не защищает от ударов. Она защищает от осознания, что удар уже был — просто ты ещё не упал.",,да
star_of_courage,Звезда мужества,⭐,rare,Редкий,1,аксессуар; святой,+1💰 в начале забега.,Универсальный / автономный,"Украшение с чужого запястья. Размер подходит. Это должно тревожить сильнее, чем тревожит.",,
health_potion,Зелье здоровья,🧪❤️,rare,Редкий,4,зелье; расходник; лечение; природа,"Если здоровье ниже 50%: лечит на 11 HP, снимает 4 негатива, один раз за бой. Лечение 6 HP.","Универсальный сейв · Ветка: Strong Health, Mana Potion · Пары: Potion Belt","На поверхности пыль. Под пылью — следы пальцев, которые совпадают с твоими.",,
stone_skin_potion,Зелье каменной кожи,🧪🪨,epic,Эпический,6,зелье; расходник,"При 45+ блок, один раз за бой. +10% урона на 6 сек.",Универсальный / автономный,"Его нашли у дороги в тумане. Никто не вернулся за ним — возможно, потому что уже не мог.",,
mana_potion,Зелье маны,🧪🔮,epic,Эпический,6,зелье; расходник; магия; крафт,"Если здоровье ниже 50%: +4 мана, один раз за бой. +10% урона на 6 сек.","Билд: мана / магия · Крафт: Health Potion + Blueberries · Пары: Mana Orb, Mana Potion, магические посохи","Формула выучена не из книги — из сна, который повторяется каждый раз, когда засыпаешь в коридоре.",да,
rage_potion,Зелье ярости,🧪,uncommon,Необычный,8,еда; зелье,+30% урона на 5 сек.,,На вкус как память. Неприятная. Настоящая. Ты всё равно проглотишь.,,
serpent_staff,Змеиный посох,🪄🐍,legendary,Легендарный,17,оружие; яд; магия; тёмный; ближний; крафт,При атаке: −4 маны → +2 урона и +1 яд (40% дубль).,"Билд: яд / DoT, мана / магия, Reaper дебаффы · Пары: Pestilence Flask, Death Scythe, ядовитые питомцы","Железо, которое не ржавеет от времени — только от того, что на него смотрят слишком долго.",да,
snake,Змея,🐍,unique,Уникальный,10,питомец; яд; тёмный; крафт,В начале боя: +4 маны и +40 макс. HP за питомца. Каждые 2.2с: +2 яда.,"Билд: яд / DoT, Reaper дебаффы, питомцы · Пары: Pestilence Flask, Death Scythe, ядовитые питомцы","Яд здесь не зелёный. Он прозрачный, как вода из крана в пустом доме.",,
puzzle_badge,Значок головоломки,🧩,unique,Уникальный,5,аксессуар; удача; крафт,Предметы перезаряжаются на 20% медленнее. Каждые 5 сек: ускорить предмет на 50%. При покупке сумки 35% шанс та же сумка снова появляется в магазине.,Билд: крит / Luck,Собран из обломков чужих вещей. Здесь всё когда-нибудь становится частью чего-то худшего.,,
gold_armor,Золотая броня,🦺🪙,godly,Божественный,16,броня; святой; сокровище; крафт,"В начале боя: +75 блока. +4 удачи. Каждые 2.2с: −2 блока, +8 HP, снять 1 яд.",Крафт: Holy Armor + Bunch of Coins,"Щит тяжелее, чем кажется. Как дверь, которую ты закрывал, зная, что за ней кто-то стоит.",да,
stankus_toothpick,Зубочистка Стэнкуса,🗡️🧄,legendary,Легендарный,10,оружие; ближний; еда; крафт,"−12% кулдаун за каждую еду на панели. При попадании: +2 яда, 35% замедление.",Крафт: Hero Sword + Garlic,"Железо, которое не ржавеет от времени — только от того, что на него смотрят слишком долго.",да,
emerald_whelp,Изумрудный дракончик,🐉💚,godly,Божественный,14,питомец; яд; крафт,В начале боя: +3 яда себе. При попадании: +3 яда противнику.,"Билд: яд / DoT, питомцы · Пары: Pestilence Flask, Death Scythe, ядовитые питомцы","Капля на металле расползается медленно — как пятно на стене, которое появляется каждую ночь.",,
fancy_fencing_rapier,Изящная шпага,🤺🍀,godly,Божественный,12,оружие; удача; ближний,"При попадании: тратит 3 удача, следующая атака +3 урона. При промахе: +3 удача. Удар 10–16 урона.","Билд: крит / Luck · Пары: Whetstone, Gloves of Haste","Железо, которое не ржавеет от времени — только от того, что на него смотрят слишком долго.",,
corrupted_armor,Искажённая броня,🦺🌑,godly,Божественный,20,броня; святой; тёмный; крафт,В начале боя: +85 блока. Каждые 2.4с: снять 2 дебаффа.,Билд: Reaper дебаффы · Крафт: Holy Armor + Corrupted Crystal,"Щит тяжелее, чем кажется. Как дверь, которую ты закрывал, зная, что за ней кто-то стоит.",да,
corrupted_crystal,Искажённый кристалл,💎,epic,Эпический,7,аксессуар; тёмный,"+5% к урону. +8% к магическому урону. Каждые 3.9 сек: отравляет врага (2). При 7+ негативах снимает 1, один раз за бой. Если у противника меньше 30% здоровья.",Билд: Reaper дебаффы,"Украшение с чужого запястья. Размер подходит. Это должно тревожить сильнее, чем тревожит.",,
spark_stone,Искорка,✨,uncommon,Необычный,4,универсальный; магия,Магический удар 1–3 урона.,,"Формула выучена не из книги — из сна, который повторяется каждый раз, когда засыпаешь в коридоре.",,
